CSA2010, MHI ,Percent_Over_65,Percent_White
Allendale/Irvington/S. Hilton,43020,14,6
Beechfield/Ten Hills/West Hills,55018,13,17
Belair-Edison,46704,10,11
Brooklyn/Curtis Bay/Hawkins Point,39162,9,42
Canton,128460,10,83
Cedonia/Frankford,47258,12,10
Cherry Hill,26654,10,5
Chinquapin Park/Belvedere,57083,15,22
Claremont/Armistead,35246,9,19
Clifton-Berea,34652,18,4
Cross-Country/Cheswolde,58844,19,68
Dickeyville/Franklintown,44530,11,7
Dorchester/Ashburton,49651,19,2
Downtown/Seton Hill,61735,4,36
Edmondson Village,43627,19,0
Fells Point,98992,9,73
Forest Park/Walbrook,44664,16,2
Glen-Fallstaff,40970,20,30
Greater Charles Village/Barclay,46335,8,46
Greater Govans,42173,15,6
Greater Mondawmin,33663,17,1
Greater Roland Park/Poplar Hill,120733,22,75
Greater Rosemont,37165,11,1
Greenmount East,29523,14,4
Hamilton,70366,12,34
Harbor East/Little Italy,38088,12,31
Harford/Echodale,57934,12,37
Highlandtown,94258,7,70
Howard Park/West Arlington,53534,23,4
Inner Harbor/Federal Hill,103720,13,74
Lauraville,74759,15,34
Loch Raven,51927,15,7
Madison/East End,37328,9,3
Medfield/Hampden/Woodberry/Remington,74714,14,78
Midtown,53664,16,49
Midway/Coldstream,29878,17,4
Morrell Park/Violetville,45125,17,57
Mount Washington/Coldspring,83989,21,64
North Baltimore/Guilford/Homeland,101786,16,64
Northwood,56293,15,9
Oldtown/Middle East,21589,13,8
Orangeville/East Highlandtown,60457,13,46
Patterson Park North & East,73313,8,44
Penn North/Reservoir Hill,35095,12,10
Pimlico/Arlington/Hilltop,32883,26,3
Poppleton/The Terraces/Hollins Market,23403,9,18
Sandtown-Winchester/Harlem Park,23551,15,3
South Baltimore,120741,6,89
Southeastern,36377,11,39
Southern Park Heights,27359,19,4
Southwest Baltimore,27177,12,16
The Waverlies,42465,14,20
Upton/Druid Heights,21319,12,5
Washington Village/Pigtown,51594,8,31
Westport/Mount Winans/Lakeland,35923,9,13
